id,texto,rotulo
67,"""Se ela trabalha o problema é dela, ela que contrate uma empregada"" VC TA LOUCO DE DROGA MEU QUERIDO? #Encontro",negativo
68,"""Se você quiser eu vou te dar um amor desses de cinema""🎶 manda prx crush esse trecho #altashoras",neutro
69,Legal esse final cm tdo mundo da praça e o danilo dançando cm o pessoal do trajavigor vestido dos personagenss da praça tocando #thenoite,positivo
70,Canta pra caralho cala a boca vai toma no cu bicho #ConversaComBial,negativo
71,"Tem @user falando de #MisterBrau Quem atacar, eu vou atacar!  #MaisVoce",neutro
72,Adorei o rapaz de camisa preta e jaqueta amarradas na cintura. Ele dança so quando o tchan canta. Kkkkkkkkkkkkk... #AltasHoras.,positivo
73,Obrigado #MasterChefBR por mais uma quarta feira cheia de sono 😴😴,negativo
74,"A expressão ""levou o farelo"" não é pq a pessoa se lascou? Kkkkkkkkkkkkk #VideoShowAoVivo",neutro
75,A RAZÃO DO MEU VIVER COMEÇOOOOOU #MasterChefBR,positivo
76,Todas as novelas que a ingrid Guimarães faz ela está baranga #VideoShowAoVivo,negativo
77,Eu nao assisti essa temporada de #MasterChefBR mas adorei a bee q foi eliminada essa semana usando os memes do #RuPaul,neutro
78,"Ai gente essa música é a melhor né? #TremBala #PadreFabiodeMelo #ConversacomBial "" Sorria e abrace seus pais enquanto estão aqui..."" s2",positivo
79,Não acredito que time azul perdeu 💔 #MasterChefBR,negativo
80,#Encontro uma piada atrás da outra,neutro
81,Joca lindo como sempre ❤ Mostra o Look hahahahaha  #VideoShowAoVivo,positivo
82,Pq essa vaca não deixa a criança no chão? Saporra tá causando #encontro Lugar de criança é numa jaula. Mudando de canal. #odeioCrianca,negativo
83,A idade não interfere nada mas sim muitas pessoas que tem preconceito #Encontro,neutro
84,"De um lado ""É o Tchan"" e do outro ""Vanessa da Mata""... Muito bom! #altashoras #paz",positivo
85,"""É a minha oportunidade de calar a boca desse povo que ta falando que eu não sei trabalhar em grupo"" Não sabe mesmo Leonardo! #MasterChefBR",negativo
86,Ana Paula chegando de fininho para comer o prato da Paola #MasterChefBR,neutro
87,A Sandy é tão linda que dói de ver #sandy #encontro,positivo
88,AI do #VideoShowAoVivo se nao tiver gravado os bastidores do parto eu nao vou responder por mim sério @user @user,negativo
89,"Imagens raras e inéditas do último aniversário de Hebe, em 8 de março de 2012, no #MaisVocê",neutro
90,-Posso pegar na sua perna? Namaria representando a minha vontade nesta manhã ^_^#MaisVocê,positivo
91,"#VideoShowAoVivo... Não aguento a chatice da Sophia Abrahão... Está sempre tensa, sorriso artificial, postura contraída e torta... Não dá...",negativo
92,#VideoShowAoVivo PODE FAZER LOOK MASCULINO TBM,neutro
93,"Nossa Cibele arrasou, no seu casamento #VideoShowAoVivo",positivo
94,"Ai que bosta, de novo matéria de frango a passarinho, pula para os convidados caramba.   #MaisVoce",negativo
95,#TheNoite com Carlos Alberto de Nóbrega no ar! @user,neutro
96,inclusive vou almoçar assistindo meu mozão #MasterChefBR,positivo
97,"Na moral a Fátima Bernardes ta ficando entrona,chata igual o Faustão #VideoShowAoVivo",negativo
98,Alguém sabe o que aconteceu com a Laura Müller no serginho? #altashoras,neutro
99,Cortez o melhor #VideoShowAovivo,positivo
100,A geração nascida pelos 1940 mais ou menos é mto retrógrada.N tem como modificar essas cabeças.Só atrapalham na criação d netos #Encontro,negativo
101,o nariz é igual da mãe  #EDeCasa,neutro
102,Essa diversidade de Ingedientes do Pará é espetacular #MasterChefBR,positivo
103,Já pensou? Serginho pedir perguntas e ninguém ter nenhuma? Ninguém levantar a mão?! #altashoras,negativo
104,Né que Arnaldinho tá no #encontro hoje. Que tiro,neutro
105,Vale Tudo no #Encontro: novelão influencer ❤,positivo
106,"Ridículo Namaria dizer que ""tem brigadeiros melhores"" #Atardeesua #MaisVoce",negativo
107,Ninguém saí da sala!!! Ana Maria está ensinando a passar roupa!!!  #MaisVoce,neutro
108,"@user  Filhos são uma benção na nossa vida, tenho gêmeos já estão com 21 anos... #AltasHoras #DiaDasMães",positivo
109,Sofri muito com a saída do meu amor Victor do #MasterChefBR,negativo
110,Se fosse ligação nosso amor seria enganooooooo  @MaiaraeMaraisa  #MaiaraeMaraisaNoBial #ConversaComBial,neutro
111,Ele é muito fofo #TheNoite,positivo
112,Hora de virar sardinha no metrô em homenagem à prova do #MasterChefBR de ontem,negativo
113,Gente é Fatima Bernardes. Kkkkkk #VideoShowAoVivo,neutro
114,MORTAAAAAAAAAA 😂😂😂 #TheNoite,positivo
115,EU ESTOU EM PRANTOS #MasterChefBR,negativo
116,#MasterChefBR Léo sai da competição,neutro
117,Pelo amor de Deus! Deixem esse tchau do @user pra sempre no final @user ❤️ #TheNoite,positivo
118,"De boa, a gente tem que falar sério nesse momento: que porra é essa no #masterchefbr de exigir uma prova usando CALDO KNOR?",negativo
119,Aquilo não é uma calcinha... é quase uma bermuda #maisvocê,neutro
120,Melhor episódio da temporada do #MasterChefBR só fecharia com chave de ouro se a Miriam saísse. O demônio essa mulher.,positivo
121,"quando o cantor começa a cantar a música diferente da original, isso quer dizer que ele já deve tá de saco cheio de cantar ela #altashoras",negativo
122,Carlos Alberto vai virar Youtuber #TheNoite #APracaENossa,neutro
123,Pode shippar o @user e a @user ? &lt;3 #MasterChefBR,positivo
124,queria @user sentadas aqui no sofá de casa conversando cmg mas enquanto isso vamos vendo a #ConversaComBial #MaiaraeMaraisaNoBial,negativo
125,Ana parece aquela amiga que dá PT e se acaba na night. #MasterChefBR,neutro
126,#thenoite.@user massa hoje,positivo
127,#MASTERCHEFBR tem q sair a Miriam já deu já... chatice,negativo
128,Sou apaixonado pela chef Paola  #MasterChefBR,neutro
129,é legal ver a sua colunista preferida na tv. A @user está no #Encontro,positivo
130,Essa músiquinha não tá ajudando :( #MasterChefBR,negativo
131,Eu lavo louça e sou homem (só nao lavo banheiro rsrs)  #Encontro,neutro
132,"Porquê, quando a gente gosta muito do entrevistado o tempo passa muito rápido? #MaisVoce",positivo
133,pq o Victor B saiu do #MasterChefBR,negativo
134,"Terça (16), séries e Talk Show da GLOBO marcaram:  #MisterBrau 20.7 #OsDiasEramAssim 15.1 #ConversaComBial 8.2 #RushMedicinaVIP 6.3",neutro
135,"Muitos vão te dizer ""Eu Te amo"", mas Amor de mãe não se discute! #altashoras *Mary Help...💞😹🔥",positivo
136,Tô com saudades do jogo de panelas #MaisVoce,negativo
137,"#TheNoite Vamos deixar o Brasil sem presidente , agente faz um Grupão no Whatssap e vai decidindo as coisas ;",neutro
138,CLIPE NOVO COM TERESA E DULCE EU NÃO VOU AGUENTAR 😢😭😍😍😍🙆🙆❤❤❤ @luceromexico  #DomingoLegal,positivo
139,Num vejo nada q preste #MasterChefBR,negativo
140,#DomingoLegal sao sebastiao do paraiso MG! Cidade pertinho de franca onde eu moro,neutro
141,"#MaisVoce @user 😍😍😍  Ana Maria Braga deita no chão ao vivo, enquanto um cara gostoso faz movimentos sensuais em cima dela 😂",positivo
142,"Capacidade de gostar dos piores, só Jesus ! #ConversaComBial",negativo
143,Atílio e sua salada pra próxima audição do #MasterChefBR! #PorAmorNoVIVA,neutro
144,"Patrícia Poeta magérrima, finge que come e de tdo no #EDeCasa, qual o problema da Tais Araújo que é atriz ter fingido que comia abóbora?",positivo
145,Nessa prova de eliminação do #MasterChefBR  de hoje.. o unico prato que eu tentaria comer era o da yuko.. Sardinha bléhr,negativo
146,Já vi tanta luta e tanta malhação hoje no #MasterChefBR que nem preciso ir amanhã na academia. será que vale?,neutro
147,"""Cê esqueceu a letra?"" Kkkkk adorei essa agora #Encontro",positivo
148,- Quantos clipes?  - Um monte - Quantos?  - uns 7 ou 8.  . . . #altashoras,negativo
149,Oq temos para esse final de sábado??? Uma dose de #altashoras,neutro
150,"#VideoShowAoVivo.  É ou não é a  filha de @user  ali, com Chacrinha?  Lindas!",positivo
151,Ninguém aguenta mais a Mirian e o Leonardo #MasterChefBR,negativo
152,Gente a Ana kkkkkkkkk #MaisVoce,neutro
153,bela gil é toda calma né? bem good vibes adorei #altashoras,positivo
154,"Enquanto isso Mirian e Nayane continuam, aff #MasterChefBR",negativo
155,Já começou o #TheNoite,neutro
156,@user segurando o sono só pra vê vocês #MaiaraeMaraisaNoBial #ConversaComBial,positivo
157,"""Eu não vou passar vergonha no meu próprio programa"" mas você sempre passa @user #TheNoite",negativo
158,"Gente, já pensou acontece uma briga real entre os convidados!? #MasterChefBR",neutro
159,#ConversaComBial Que tema importante. Democracia ! Comunicação popular é o melhor caminho!!,positivo
160,Eu ja sabia só não respondi porque queria deixar outras pessoas responderem  #VideoShowAoVivo,negativo
161,Escondendo essa barriguinha de que? De nhoque né hahahah #VideoShowAoVivo,neutro
162,"#MaisVocê eu n posso ver essas máquinas,q da vontade ter tds",positivo
163,#Encontro  para  essas cantoras sertanejas bregas de hoje em dia que dizem que não existia dupla sertaneja feminas antes viva #IrmasGalvao,negativo
164,"Já fui na padoca, fiz café da manhã pra Mainha e agora tenho q pensar no almoço. Vai ter que baixar um #Masterchefbr",neutro
165,tenho que ir dormir mas o #MasterChefBR tá maravilhoso hoje,positivo
166,"@user @user Isso @user pede o fôlego e volta pra casa, pois ninguém mais aguenta você! #MasterChefBR",negativo
167,"Olha, amigo, eu sou a favor do desarmamento pela menor chance possível de levar um tiro, que tal?...#TheNoite",neutro
168,"Prova muito emocionante, Não Vou Negar Que Chorei  #MasterChefBR",positivo
169,"#MasterChefBR MANO, OQ ACONTECEU ALGUÉM ME ATUALIZE",negativo
170,#thenoite 🎶🎼Se essa rua fosse minha...eu mandava ladrilhar...🎼🎶 Com pedrinhas de brilhante Só pro meu am♥r passar...🎶🎼 Bons tempos,neutro
171,"Essa temporada do #MasterChefBR tá MUITO melhor que a temporada passada, socorro.",positivo
172,"Trem Bala 😩 a música é boa, mas já enjoou 😄 #ConversaComBial",negativo
173,E o barato de ter família grande é q vc não tem problema em socializar. Vc estranha qdo fica sozinho. #Encontro,neutro
174,"Nossa, a inteligência e a sabedoria do Padre Fábio de Melo e ainda sendo entrevistado por Bial....que #TDB #ConversaComBial",positivo
175,"Não quero q o Douglas saia,pq acho ele bom cozinheiro e um docinho d gente.Nem q a Mirian saia,pq quero ela sendo má em grupo #MasterChefBR",negativo
176,ELVIRA E GERMANA RAINHAS #VideoShowAoVivo,neutro
177,"Esse @user é mt gato, sangue de Jesus tem poder #DomingoLegal",positivo
178,#VideoShowAoVivo 😔 que saudade desses seriados,negativo
179,#TheNoite Matheus Ceará só fala merda slk. Kkkkkkkkkkmk,neutro
180,@user melhor prato da noite #MasterChefBR Love u,positivo
181,"Bicho o cara falou um monte de merda em rede nacional, coragem né? Tem gente que tem muita coragem mesmo #Encontro",negativo
182,A Sophia Abrão tomou o lugar do Joca Lopes no #VídeoShowAoVivo?,neutro
183,"Antônia Morais, talento e beleza que vêm do DNA! #VideoShowAoVivo",positivo
184,O #MasterChefBR me deu fome ontem ushausha,negativo
185,Vamos subir a tag  #bolsonaroEuconfio ... quem vem comigo? #MasterChefBR #OutraAmazônia #ProgramaDoPorchat #LulaEuConfio #AForcadoQuerer 😘,neutro
186,Irmãs Galvão que amorzinho! Minha avó gostava tanto....bateu aquela saudade agora.... #Encontro,positivo
187,É agr a hora da verdade bye bye Miriam #MasterChefBR,negativo
188,Vanessa Da Mata depois de muitos anos e a voz é a mesma. #AltasHoras,neutro
189,"Cara fala sério, @user vc é demais! #ConversaComBial",positivo
190,"Coitado do Douglas  Ele era mto criativo e cozinha mto bem, mas nem sempre sabia usar isso a seu favor no #MasterChefBR",negativo
191,"@user pro @user: ""Eu vou tentar trazer o ""tômpero""""! 😂😂😂😂😂😂😂😂😂😂 #MasterChefBR",neutro
192,@user lindo no #EdeCasa😉,positivo
193,Passei mal assistindo a prova na parte que o Vítor se corto meu Deus quase desmaiei de vdd #MasterChefBR,negativo
194,KKKKKKKKKKKKKK JA DEU AQUELA BULINADA NA JU #TheNoite,neutro
195,Se liguem no #AltasHoras que a maravilhosa @user tá lá 💙,positivo
196,#Thenoite pq os brasileiros qdo vão lá fora se esforçam p falar inglês sendo q aqui qnd vem internacionais não tentam falar nossa língua?,negativo
197,Daqui a pouco tem #MasterChefBr e nós tem escondidinho,neutro
198,Aquele momento que você fica quase 24 horas sem entrar no Twitter para não saber quem saiu do #MasterchefBR,positivo
199,Pela primeira vez não tenho vontade de comer o que eles preparam... #MasterChefBR,negativo
200,"Fico me perguntando, será  que os filhos da Bela Gil comem de sobremesa pudim de chia com calda de mirtilo? Kkkkk #AltasHoras",neutro
201,"O Thomas é a coisa mais gostosa desse mundo,q vntd de apertar ai mds #AltasHoras",positivo
202,Chorando ainda a saída do do @user do #MasterChefBR 😭😭😭😭😭😭😭😭😭😭😭😭😭,negativo
203,@user  #MasterChefBR @user  miga????? Isso é verdade?,neutro
204,"#VideoShowAoVivo Melhor pessoa ""Sophia Abrahão""... mesmo estando atrasada chega arrasando. Muito divertido o vídeo show de hoje.",positivo
205,"Aí meu Deus, eu passo mal com essa Contagem final... Socorro 😰😰  #Masterchefbr",negativo
206,"Ansiedade por estar bem sempre, por sempre fugir do mau momento. (EU todinho) #ConversaComBial",neutro
207,Maluma gatooo. Ja quero casar e ter filhos #TheNoite,positivo
208,"Porra ana maria ela n come abóbora e acabou, supera n é td mundo q gosta de abóbora #MaisVoce",negativo
209,"Por onde apresentamos a peça temos recebido vários relatos de abusos, pessoas se abrindo pela primeira vez #Encontro #HospitalDeBonecas",neutro
210,Namaria tá impagável hoje vestida de unicórnio . A tiara foi a cereja do bolo rssss #MaisVocê,positivo
211,Credooo qto sangueee #masterchefBR,negativo
212,Estou esperando Laura  #AltasHoras,neutro
213,"#VideoShowAoVivo Oi amores,que tal a Sophia fazer um  Filme sobre a Cláudia Raia e ela seria A própria Cláudia, bjos",positivo
214,ahhhh... uma semana pra ter #MasterChefBR de novo... :(,negativo
215,CADA DOSE CAI NA CONTA E OS 10% AUMENTA AI CÊ ME ARREBENTA E O CORAÇÃO NÃO GUENTA #ConversaComBial,neutro
216,ZzzZzzZZzzzZzzzz... dia Pós #MasterChefBR  Sempre vale a pena ser um zumbi no dia seguinte 😴😴😴,positivo
217,"Hoje tem o Fogaça em A Prévia, só assim para eu assistir essa porcaria. #MasterChefBR #APrevia",negativo
218,"Sexta (12), as séries e Talk Show da GLOBO marcaram:  #OsDiasEramAssim 16.4 #ConversaComBial 7.5 #Homeland 6.7",neutro
219,"@user Drauzio Varella? Tiozinho abortista, um poço de progreçyzmu. Vou assistir pra contar as ""lacradas"" que ele dará. #ConversaComBial",positivo
220,O @user deve estar armando esse #MasterChefBR hoje. So as coisa nojentona.,negativo
221,"@user mais um dia de trabalho normal, né? #MasterChefBR",neutro
222,"João Vicente: ""minha mãe acha que a novela toda ta errada e o Lázaro ta certo"" BERRO #Encontro",positivo
223,aaaaaa Douglas não pode sair nao pfvvvv #MasterChefBR,negativo
224,"""Poder é um espaço abstrato que jamais permanece vazio "". #ConversaComBial",neutro
225,O Masterchef hoje foi lindo e emocionante. Ver a garra de uma pessoa quando ela deseja algo é lindo e motivacional. #MasterChefBr,positivo
226,Mas essa moça é bem sem graça pra apresentar esse quadro hein?! Só fica calada. Animação filha... #EDeCasa,negativo
227,era alguma regra ser tudo verde todas comida? #MasterChefBR,neutro
228,@user @user Contando os minutos  Amo #MasterChefBR  O melhor programa brasileiro de gastronomia 😍😍❤,positivo
229,O cabelo da Namaria está amarelo? #MaisVoce,negativo
230,Hoje ta tensão nível Hard no #MasterChefBR  😱😱😱😱😱😱,neutro
231,"ai eu gosto de ver hein, vamos vitor b  #MasterChefBR",positivo
232,Por favor não me odeiem! Mas não suporto É o Tchan mais. Muito por detestar o Compadre #altashoras,negativo
233,"Que tal ouvirmos Banda Donica? Ė trazer Caetano, através do seu filho. 🎶🎹🎶🎸🎶 #VideoShowAoVivo.",neutro
234,Socorro tô nervosa #MasterChefBR,positivo
235,"E ganhar uma NOTA PRETA? ganhar uma ""nota preta"" é ganhar muito dinheiro. #Encontro",negativo
236,Feliz Dias das Mães #DomingoLegal,neutro
237,Tem dois bonitoes na minha tv  MAS OS MEUS OLHOS SO FOCAM NA FATIMA! Woww  #VideoShowAoVivo,positivo
238,Maluma só me lembra a Anitta desculpa jjkkkkk #TheNoite,negativo
239,Precisamos falar mais sobre ansiedade e depressão. #ConversaComBial,neutro
240,Alô @user @user @user tem especial de 30 anos da Praça no #TheNoite hj. Bora divulgar,positivo
241,"""tá apertado"" ""mas tá bonito"" a triste realidade da vida #VideoShowAoVivo",negativo
242,Depois de todas as perguntas eu tenho certeza que sou pessimista Hahaha #Encontro,neutro
243,Vídeo show me amorro #videoshowaovivo,positivo
244,Migo a expressão negra/negro é utilizada como conotação negativa na língua sim e é uma forma de racismo! para de bostejar please #Encontro,negativo
245,"Cantou ""eu acredito"" já sabemos quem será eliminado, né migos... #EuAcreditoFail #MasterChefBR",neutro
246,Gostaria de vídeos da sandy cantando evidências no #encontro na minha mesa agora já por favor eu imploro eu preciso disso,positivo
247,Acabei de ver #MasterChefBR e tô um pouco abalada com essa eliminação 😢,negativo
248,"@user O que seria do jiló se todos gostassem de abóbora, não é?! #Diva #ThaísAraujo #MaisVoce",neutro
249,Hije tem #MasterChefBR ai que tuuuuuudo,positivo
250,Queria a Aderlize na #EquipeAzul #MasterChefBR,negativo
251,"Aproveitando que o assunto é política, só queria dizer que eu sou um bom partido. mandem direct ❤️ #MasterChefBR",neutro
252,"Vem gente, vai começar #MasterChefBR  #TeamYuko #TeamVitorB",positivo
253,"Ai cara, eu não acredito que o Vitor B saiu, quero chorar #MasterChefBR",negativo
254,"Pena que esse doutor é casado combina com Fátima ,😘 #Encontro",neutro
255,"FATIMA BERNARDES NO MEU VIDEO É UM SHOW , NAO TO ACREDITANDO , AMEI 😍 #VideoShowAoVivo",positivo
256,"Fátima Bernardes cantando sandy sou eu tentando cantar em inglês: Só mexo a boca, faço cara de paisagem e canto porra nenhuma #encontro",negativo
257,"Aqui em Belém do Pará , o dindin é  chopp.  #VideoShowAoVivo",neutro
258,"Adorei a Antônia Moraes abrindo o guarda roupa dá Manu,  são mega estilosas queria essas roupas pra mim 😍 #VideoShowAoVivo @user",positivo
259,falta é cheiro verde nesses pratos #MasterChefBR,negativo
260,dos competidores restantes a única que já passou de voltar pra casa é a miriam  #MasterChefBR,neutro
261,"Até o Padre Fábio de Melo cantando Trem Bala, no caso, no #ConversaComBial",positivo
262,Descobrindo que não é só o Zé Felipe que é chato na novela. O ator também #DomingoLegal,negativo
263,"#Encontro beijo é troca de carinho, beijo meu marido em qualquer lugar, é só estar com vontade",neutro
264,"Sheila Gomes, Cláudia Silva e Jessica Ribeiro bora ver o Fogaç...ops! Ver o #MasterChefBR",positivo
265,"Por que o #MasterChefBR termina tão tarde? Deveria ser um programa pra toda família, mas só os fortes sobrevivem. 🙁",negativo
266,Ver #MasterChefBR sem comer nada é impossível 🙅‍♂️! Rsrs,neutro
267,Queria ter esse vocabulário rico que nem do @user #ConversaComBial,positivo
268,"Já pode mudar o nome do programa para "" Conversa com Ana Maria Braga "" 🤣🤣🤣#ConversaComBial #MaiaraeMaraisaNoBial começa logooo esse treeem",negativo
269,#MasterChefBR Vem forte que hoje a culinária é do Norte.,neutro
270,Quer saber? Palmas pra você​ Victor B. 👏👏👏👏👏👏👏 #MasterChefBR,positivo
271,Morta com a Fatima falando q nao falar sobre a outra q quer ser a esposa 😂😂😂😂 #Encontro Ai q direta,negativo
272,Os cara como sem camisa assim? Normal? Só mais um dia de inverno #MasterChefBR,neutro
273,"Meu sonho fazer a dançarina gay c/ E o tchan, alguém realiza isso pfvr HAHA ♡ #AltasHoras",positivo
274,Só tendo que usar fantasia que o Mingau troca de roupa.  #TheNoite @user,negativo
275,"nao se fala bvbl, é bvl só uai #VideoShowAoVivo",neutro
276,#edecasa feliz dias das mãe beijos mãe ❤ &amp;#55357; ❤ ❤,positivo
277,"O cara ao vivo no encontro fala "" homem que é homem não lava louça "" mds, que machista!!!!!!!! #Encontro",negativo
278,"22h50 - Globo 20.6, SBT 9.7, RecordTV 6.1, Band 4.6 #MasterChefBR",neutro
279,"Queria ver a #ConversaComBial hj eh o @user, AMO!",positivo
280,Não sei como o video show nao se cansa de fazer a mesma matéria sobre vestidos de noiva diferentes.  #VideoShowAoVivo,negativo
281,#MasterChefBR eu quero vê um quebra pau hj mininaaaa,neutro
282,@user vc é incrível cara!!! #AltasHoras,positivo
283,"#Encontro falando sobre o que usar, o problema são os homens tarados que não tenho controle e ivadem o espasso e a liberdade da mulher",negativo
284,"Esse Tiago fala:  "" houve uma pressão "" . Eu traduzo na minha cabeça:  Não queria que fosse assim, mas mudou, têm mulheres.   🙄 #Encontro",neutro
285,Eu quero um moletom igual ao do @user #MasterChefBR,positivo
286,"Ai pula para Vivianne Pasmanter, não to afim de ver matéria de frango a passarinho, nem de galinha eu gosto.   #MaisVoce",negativo
287,"""o que importa aqui é entregar o prato pronto"" Ana ja dando spoiler que Vitor sai #MasterChefBR",neutro
288,"Germana e Licurgo, casal do ano que vc respeita  #MaisVoce",positivo
289,#quantico já teve mais showrunner que #masterchefbr passando na grade da Band HAHAAHAH,negativo
290,"Quem Ñ tem Deus,, Q tenha pelo menos Aristoteles Padre Fabio de Melo #ConversaComBial",neutro
291,Gosto das palavras dessa mulher ai. É psicologa? #encontro,positivo
292,#MasterChefBR agora a Mirian tá rindo alguém pior que ela,negativo
293,GARÇOM TROCA O DVD QUE ESSA MODA ME FAZ SOFRER E O CORAÇÃO NÃO AGUENTA #ConversaComBial,neutro
294,Hj o #MasterChefBR promete fortesssss emoções! ! Adoooro,positivo
295,Maldição do avental? 😱 Desorganizacão... 😒 #equipeazul #MasterChefBR,negativo
296,#MasterChefBR Genteeeee hoje vai ser mais tenso.,neutro
297,PAOLLA LINDA OLIVEIRA #VideoShowAoVivo,positivo
298,O pessoal de SC tinha que estar nessa prova. Acho q Valter mandaria bem pacarai #masterchefbr,negativo
299,"Buenos dias, galera. Ontem não vim aqui comentar o #MasterChefBR por motivos de computador novo. Fui abduzido!!! #teamojunto",neutro
300,#MasterChefBR começou galeraaaaa,positivo
301,Dráuzio varella mostranso que o crime organizado é mais organizado que nossos gorvenantes #ConversaComBial,negativo
302,A solução é ressignificar positivamente as palavras e os velhos ditados #Encontro,neutro
303,"A Bela teve o neném na sala? CA RA, benza a Deus! Não tenho nenhum porcento de coragem #AltasHoras",positivo
304,"Queridos conhecidos, saibam que não me verão nunca mais por motivos de: @user me matou do coração hoje. #MasterChefBR",negativo
305,Este perfil saiu do modo #MasterChefBR,neutro
306,Torcendo pra equipe azul! Eu acreditooo!! #MasterChefBR,positivo
307,Imaginou Mirian ou Leonardo ganhando esse #MasterChefBR vai ter uma 3 guerra mundial em pleno twitter,negativo
308,Consolidados - SBT (16/05):  #TheNoite 3.9 #SBTNotícias I 2.8 #SBTNotícias II 3.1,neutro
309,A mãe da @user é maravilhosa! Tive o prazer de conhecer as duas pessoalmente em 2015! #EDeCasa,positivo
310,Só quero que #MasterChefBR acabe pra eu ir dormir kk,negativo
311,Otaviano está fazendo a dieta da Patrícia Poeta? Ta magro! #VideoShowAoVivo,neutro
312,#altashoras tá top,positivo
313,"O meu Douglas saiu, eu não estou acreditando #MasterChefBR",negativo
